Date,Close,High,Low,Open,Volume
2021-09-10,11.420771598815918,11.449467662637304,11.301207402834082,11.377729327488685,2011676
2021-09-13,11.339468955993652,11.525989739243776,11.334687190451028,11.439903364236413,1070307
2021-09-14,11.406426429748535,11.406426429748535,11.253384378672077,11.296427569562653,1242204
2021-09-15,11.239035606384277,11.459033312311611,11.205557773934684,11.39686032521987,1613488
2021-09-16,11.377730369567871,11.420772644837317,11.253383484893618,11.277295961399144,1312546
2021-09-17,11.530773162841797,11.597728831199571,11.435121426157064,11.46859926033595,3168603
2021-09-20,11.38729476928711,11.468598466178387,11.334687138735697,11.420772601147782,1573581
2021-09-21,11.683815002441406,11.688597680410211,11.392078031762203,11.392078031762203,1744410
2021-09-22,11.769902229309082,11.798597386986387,11.626424616517326,11.717293680065177,2053195
2021-09-23,11.750770568847656,11.879900136290553,11.722075413483415,11.789031080067492,2086041
2021-09-24,11.61685848236084,11.774683194933514,11.583379739037257,11.707726620488831,1244005
2021-09-27,11.583380699157715,11.707727590916123,11.545120187247631,11.6455546011382,1088038
2021-09-28,11.530773162841797,11.588163475090585,11.353817723635808,11.53555584089629,1876945
2021-09-29,11.631206512451172,11.836857105077657,11.592946000720842,11.631206512451172,1920621
2021-09-30,11.650337219238281,11.846422455794373,11.631206507280345,11.68381505296212,2369495
2021-10-01,11.57381534576416,11.61207585466741,11.506858771031608,11.57859711119989,1238128
2021-10-04,11.5690336227417,11.774684217141804,11.559468266675982,11.59294610070343,1423584
2021-10-05,11.745987892150879,11.774683959720669,11.61685923689699,11.635989036407642,1682076
2021-10-06,11.650337219238281,11.731640920654408,11.497295172384996,11.645554541248798,1662991
2021-10-07,11.836856842041016,11.865551997150465,11.72685798728601,11.736423343056671,1320591
2021-10-08,11.875118255615234,11.956421961441139,11.808162584535998,11.860770220868568,1222214
2021-10-11,11.855987548828125,11.932508570557664,11.784248292779465,11.87033467027583,975443
2021-10-12,12.004246711730957,12.004246711730957,11.731640462396685,11.769900972615485,1430111
2021-10-13,11.965986251831055,12.047289950413216,11.922943063628585,12.004246762210746,1411695
2021-10-14,12.200331687927246,12.2768527067799,12.013811818499214,12.032941617111128,1953509
2021-10-15,12.367721557617188,12.367721557617188,12.229026643075672,12.252940031204805,2116960
2021-10-18,12.238593101501465,12.310331447950315,12.099898174458133,12.281636291811289,1815913
2021-10-19,12.238593101501465,12.377287116342231,12.233810423444533,12.267288257640491,1533723
2021-10-20,12.367721557617188,12.41076474404714,12.224243965449844,12.224243965449844,1367189
2021-10-21,12.33902645111084,12.37728696288938,12.291201495539584,12.329462007318122,1462454
2021-10-22,12.3438081741333,12.463372378216505,12.339025496505673,12.415546514142726,1679967
2021-10-25,12.377286911010742,12.463373290202268,12.33902639939257,12.425112778584095,1510007
2021-10-26,11.855987548828125,12.530329622946274,11.827291481527647,12.434677889683083,5409391
2021-10-27,11.755553245544434,12.028159501982529,11.755553245544434,11.908595290407748,2547828
2021-10-28,11.832074165344238,11.937290342224482,11.755553143576327,11.755553143576327,1797791
2021-10-29,11.745987892150879,11.784248403374724,11.535555536521002,11.784248403374724,2651891
2021-11-01,11.894248008728027,11.894248008728027,11.774683798762618,11.774683798762618,1613913
2021-11-02,11.989898681640625,12.056854346491425,11.884682506560438,11.908594983377862,1975749
2021-11-03,12.147723197937012,12.147723197937012,11.92772549583462,11.980333126396822,1571793
2021-11-04,12.128593444824219,12.195549108810928,12.056854190892738,12.190766431068662,1182739
2021-11-05,12.233810424804688,12.233810424804688,12.123811566090717,12.142941366118007,1602054
2021-11-08,12.119028091430664,12.2481576538866,12.119028091430664,12.20989714414438,1109887
2021-11-09,12.224244117736816,12.281635337759218,12.10946258989451,12.119027945265326,1177601
2021-11-10,12.257722854614258,12.305548722797976,12.181201830401335,12.229027698585053,885906
2021-11-11,12.22902774810791,12.353374641008106,12.214680626136488,12.224245070049914,827022
